Rank,ID,Player,Team,Conf,Seed,GP,MPG,PPG,$,R1 Pts,R1 PPG,R1 GP,R2 Pts,R2 PPG,R2 GP,CF Pts,CF PPG,CF GP,Finals Pts,Finals PPG,Finals GP,Total Pts,Total GP
151,4066436,De'Anthony Melton,GS,W,10,660,23,12.5,,20.6,12.1,1.7,1.4,12.1,0.1,0.1,,,,,,22.3,1.8
152,5214637,Noah Penda,ORL,E,8,810,13.7,4.2,,19.5,3.6,5.4,2.2,3.6,0.6,0.4,,0.1,0.1,,,22.2,6.1
153,4601023,Oso Ighodaro,PHX,W,7,1140,22.3,6.6,,21.1,4.3,4.9,0.4,3.9,0.1,,,,,,,21.5,5
154,5105623,Kel'el Ware,MIA,E,10,1080,22.1,10.9,,18.4,11.6,1.6,2,11.7,0.2,0.1,,,,,,20.6,1.8
155,2993874,Kyle Anderson,MIN,W,6,210,18.6,3.4,,15.1,2.6,5.7,4.2,2.6,1.7,0.7,2.6,0.3,0.2,,0.1,20.2,7.7
156,4432848,Jaime Jaquez Jr.,MIA,E,10,1050,28.3,15,,17.2,10.8,1.6,1.8,10.5,0.2,0.1,,,,,,19.2,1.8
157,3908845,John Collins,LAC,W,9,945,27.5,13.5,,18.4,11.4,1.6,0.7,,0.1,0.1,,,,,,19.2,1.7
158,3213,Al Horford,GS,W,10,645,21.7,8.3,,15.8,9.2,1.7,1.1,9,0.1,0.1,,,,,,16.9,1.8
159,6589,Draymond Green,GS,W,10,960,27.5,8.6,,15,8.8,1.7,1.1,9.2,0.1,0.1,,,,,,16.3,1.8
160,4433249,Moussa Diabate,CHA,E,9,1020,26,8,,13.4,7.3,1.8,2.3,7.2,0.3,0.3,,,,,,16,2.2
161,4997536,Gui Santos,GS,W,10,975,20.3,9.2,,14.7,8.6,1.7,1,8.4,0.1,0.1,,,,,,15.8,1.8
162,4576060,Ryan Kalkbrenner,CHA,E,9,945,21.6,7.7,,12.3,6.6,1.8,2.1,6.7,0.3,0.2,,,,,,14.6,2.2
163,4066211,Robert Williams III,POR,W,8,810,16.8,6.7,,12.7,2.6,5,0.5,2.6,0.2,,,,,,,13.2,5.2
164,4601025,Pelle Larsson,MIA,E,10,990,26.4,11.3,,11.5,7.2,1.6,1.3,7.4,0.2,0.1,,,,,,12.9,1.8
165,3936099,Derrick Jones Jr.,LAC,W,9,660,27.3,10.5,,12.2,7.5,1.6,0.5,,0.1,0.1,,,,,,12.7,1.7
166,4278053,Davion Mitchell,MIA,E,10,990,28.6,9.2,,11.2,7.1,1.6,1.3,7.3,0.2,0.1,,,,,,12.6,1.8
167,4396818,Jordan Miller,LAC,W,9,810,21.6,9.7,,11.9,7.4,1.6,0.5,,0.1,,,,,,,12.4,1.7
168,3448,Brook Lopez,LAC,W,9,1035,21.4,8.2,,11.2,6.9,1.6,0.4,,0.1,0.1,,,,,,11.7,1.7
169,2991139,Kris Dunn,LAC,W,9,1140,27.4,7.4,,10,6.2,1.6,0.4,,0.1,,,,,,,10.5,1.7
170,4432811,Josh Green,CHA,E,9,780,16.1,4.5,,8.4,4.6,1.8,1.4,4.4,0.3,0.2,,,,,,10,2.2
171,3037789,Bogdan Bogdanovic,LAC,W,9,315,20.4,7.3,,8.9,5.5,1.6,0.4,,0.1,,,,,,,9.3,1.7
172,4602025,Sion James,CHA,E,9,1140,22.6,5.4,,6.7,3.6,1.8,1.1,3.6,0.3,0.1,,,,,,8,2.2
173,4997528,Nikola Jovic,MIA,E,10,675,17.7,7.5,,3.4,2.1,1.6,0.4,2.2,0.2,,,,,,,3.8,1.8
